1 1. 일반사항  1. 일반사항 
22 1.4 용어의 정의  ∙줄기초: 벽체를 지중으로 연장한 기초로서 길이 방향으로 긴 기초 
23 1.4 용어의 정의  ∙즉시침하(탄성침하): 지반에 하중이 작용함과 동시에 발생하는 (탄성)침하 
24 1.4 용어의 정의  ∙허용지지력: 지반의 극한지지력을 적정의 안전율로 나눈 값과 허용변위량으로부터 정하여진 지지력 중 작은 값 
25 1.4 용어의 정의  ∙확대기초: 상부구조물의 기둥 또는 벽체를 지지하면서 그 하중을 말뚝이나 지반에 전달하는 기초 형식 
26 1.5 기호의 정의  1.5 기호의 정의 
27 1.5 기호의 정의  ∙  : 기초의 근입깊이, m 
28 1.5 기호의 정의  ∙ B: 기초의 폭, m 
29 1.5 기호의 정의  ∙ L: 기초의 길이, m 
30 1.6 검토사항  1.6 검토사항 
31 1.6 검토사항  (1) 얕은기초의 설계는 다음 사항을 검토하여 결정한다. 
32 1.6 검토사항  ① 기초지반은 전단파괴에 대하여 안전하여야 한다. 
33 1.6 검토사항  ② 과도한 침하나 부등침하가 발생하지 않아야 한다. 
34 1.6 검토사항  ③ 기초가 경사진 지반에 설치될 경우 기초하중에 의해 비탈면 활동 및 지지력의 감소가 발생하지 않아야 한다. 
35 1.6 검토사항  ④ 인접한 구조물에 침하, 균열, 손상 등이 발생하지 않아야 한다. 
36 1.6 검토사항  ⑤ 지하수위의 계절적 변동에 대하여 안전하여야 한다. 
37 1.7 작용하중의 구분  1.7 작용하중의 구분 
38 1.7 작용하중의 구분  (1) 기초구조물에 작용하는 하중은 그 지속시간에 따라 지속하중과 일시하중으로 구분한다. 
39 1.7 작용하중의 구분  (2) 지속하중은 구조물 자중, 지속적으로 작용하는 토압 및 수압(침투압 포함) 등을 포함하고, 일시하중은 변화가 가능한 토압, 수압, 빙압 등을 포함한다. 
40 1.7 작용하중의 구분  (3) 지하수위 변화를 포함하여 시공 중 또는 공용 중에 발생, 변화하는 하중은 지속시간에 따라 지속하중 또는 일시하중으로 구분한다. 
41 1.8 지지력 및 침하량 계산 시 고려사항  1.8 지지력 및 침하량 계산 시 고려사항 
42 1.8 지지력 및 침하량 계산 시 고려사항  (1) 기초의 지지력 및 침하량 계산 시, 기초구조물 상부에 작용하는 연직하중, 기초구조물의 자중, 기초구조물 저면에 작용하는 수압, 수평하중, 측벽의 수동토압 및 수압 등을 고려한다. 
43 1.8 지지력 및 침하량 계산 시 고려사항  (2) 기초의 측면저항은 기초의 측면과 흙 사이에 작용하는 마찰에 의한 저항을 말하며, 얕은기초의 근입깊이( )와 최소 폭(B)의 비가 1.0 미만( /B<1.0)인 경우 측면저항이 기초지반의 지지력에 비해 작기 때문에 측면저항을 고려하지 않는다. 
44 1.8 지지력 및 침하량 계산 시 고려사항  (3) 지하수위의 결정에 신중을 기하여야 하며, 연안과 하천 및 해수면 수위의 변화에 민감한 지역에서는 특히 기후변화에 의한 지하수위 변동을 고려하여야 한다. 
45 1.9 기초의 안정성 평가 항목  1.9 기초의 안정성 평가 항목 
46 1.9 기초의 안정성 평가 항목  (1) 기초의 안정성 평가를 위해서는 기초지반의 전단파괴, 기초 및 구조물의 침하·전도·활동, 비탈면 파괴(overall stability) 및 기초 본체의 안정성에 대하여 검토하여야 하며, 각 검토항목과 구조물에 따라 규정된 허용기준을 만족하여야 한다. 
47 1.9 기초의 안정성 평가 항목  (2) 기초의 폭, 근입깊이, 지반의 전단강도, 하중의 경사, 편심, 지하수위 등을 고려하여 지반의 전단파괴에 대한 안정성을 검토한다. 
48 1.9 기초의 안정성 평가 항목  (3) 기초지반에 과도한 침하나 부등침하가 발생하여 구조물이 손상되지 않도록 침하에 대한 안정성을 확보한다. 특히, 응력전이, 불균등한 지층상태, 불균질한 지반상태, 불규칙한 기초형상, 부적절한 근입깊이, 편심 또는 경사하중 등에 의한 영향을 검토한다. 
49 1.9 기초의 안정성 평가 항목  (4) 기초에 가해진 하중에 의하여 기초와 구조물이 전도되지 않도록 안정성을 확보한다. 
50 1.9 기초의 안정성 평가 항목  (5) 기초의 저면과 지반 사이에 활동이 일어나지 않도록 안정성을 확보한다. 활동에 대한 안정성 검토 시 지반의 수동저항이 발현될 것으로 판단될 경우에는 이를 반영할 수 있다. 다만 수동저항이 발휘되기 위해서는 주동변위의 2배~20배 만큼 변위가 발생하여야 하므로 수동저항이 전부 발현된다고 가정하는 것은 주의가 필요하다. 한편으로 기초의 저면에 근접하여 연약지층이 있을 경우에는 연약층을 따라 활동면의 발생 가능성을 검토한다. 
51 1.9 기초의 안정성 평가 항목  (6) 기초 본체의 설계는 KDS 14 20 70(4.2)에서 정하는 바를 따른다. 
52 1.9 기초의 안정성 평가 항목  (7) 기초를 경사진 지반에 계획할 경우에는 작용하중과 지반의 특성을 고려하여 비탈면 파괴 가능성에 대하여도 검토하여야 하며, 경사진 지반침하량 산정시 탄성침하공식만으로는 불충분하므로 수치해석 등을 통해 보완하여 검토한다. 
53 1.9 기초의 안정성 평가 항목  (8) 기초지반이 다층구조인 경우의 지지력에 대한 안정 검토는 원호활동해석을 표준으로 한다. 이 경우에 있어서 안전율은 지반의 특성 등에 따른 적절한 수치를 적용한다. 
54 1.9 기초의 안정성 평가 항목  (9) 매립지반에 설치하는 기초는 특별히 주의하여야 하는데, 기초 하부의 접지압력은 가급적 균등하게 분포하도록 설계하고, 접지압력의 분포는 흙 또는 암, 그리고 구조물의 특성에 따라 달라지므로 토질역학 및 암석역학적 원리들과 일치하여야 한다. 
55 2. 조사 및 계획  2. 조사 및 계획 
56 2. 조사 및 계획  ∙ 얕은기초의 조사 및 계획은 KDS 11 10 10에 따른다. 
57 3. 재료  3. 재료 
58 3. 재료  내용 없음 
59 4. 설계  4. 설계 
60 4.1 지지력 산정  4.1 지지력 산정 
61 4.1.1 지지력 산정을 위한 고려 사항  4.1.1 지지력 산정을 위한 고려 사항 
62 4.1.1 지지력 산정을 위한 고려 사항  (1) 기초설계 시 시추조사, 현장 및 실내시험을 통하여 지반 특성을 파악한 후 지지력을 산정한다. 그러나 상재하중이 작은 구조물 또는 가설구조물의 기초는 인근 구조물의 경험값, 기초설계 및 시공성과, 현장시험 자료를 통하여 지지력을 추정할 수 있다. 
63 4.1.2 허용지지력  4.1.2 허용지지력 
64 4.1.2 허용지지력  (1) 얕은기초의 허용지지력은 지반의 극한지지력을 적정한 안전율로 나눈 값과 허용변위량으로부터 정해진 지지력 중 작은 값으로 결정한다. 
65 4.1.3 이론적 극한지지력  4.1.3 이론적 극한지지력 
66 4.1.3 이론적 극한지지력  (1) 이론적 극한지지력은 지반조건, 하중조건(경사하중, 편심하중), 기초크기 및 형상, 근입깊이, 지반경사, 지하수위 영향 등을 고려하여 산정하며, 지지력 계산 방법에 따라 서로 다른 지지력이 계산될 경우에는 설계자의 판단에 의하여 지지력을 결정한다. 
67 4.1.3 이론적 극한지지력  (2) 구조물의 하중이 기초의 형상 도심에 연직으로 작용하고 지반의 각 지층이 균질하며 기초의 근입깊이가 기초의 폭보다 작고 기초의 저면이 수평이며 기초를 강체로 간주할 수 있을 경우에는 기존의 이론식으로 연직지지력을 구한다. 
68 4.1.3 이론적 극한지지력  (3) (2) 이외에 소성이론에 의한 계산결과나 재하시험 또는 모형실험의 결과를 이용하여 지지력을 구할 수 있다. 
69 4.1.3 이론적 극한지지력  (4) 기초의 영향범위 내에 여러 지층이 포함된 경우 이러한 층상의 영향을 고려하여 지지력을 산정한다. 
70 4.1.4 경험적 지지력  4.1.4 경험적 지지력 
71 4.1.4 경험적 지지력  (1) 경험적 지지력이란 경험에 의해 제시된 지지력공식을 이용하거나, 직접적인 계산이나 시험을 통하지 않고 각종 문헌이나 기준에 제시된 허용지지력 범위나 추천값을 인용하여 지지력을 추정하는 방법이다. 
72 4.1.4 경험적 지지력  (2) 경험적인 지지력 산정방법은 다음 조건을 충족하는 경우 적용한다. 
73 4.1.4 경험적 지지력  ① 기초지반이 기초 저면으로부터 기초 폭의 2배 심도까지 거의 균질한 경우 
74 4.1.4 경험적 지지력  ② 지표와 지층경계면이 거의 수평인 경우 
75 4.1.4 경험적 지지력  ③ 기초의 크기가 큰 경우 
76 4.1.4 경험적 지지력  ④ 규칙적인 동하중을 받지 않는 경우 
77 4.1.4 경험적 지지력  ⑤ 개략적인 지지력 예측이 필요한 경우 
78 4.1.4 경험적 지지력  ⑥ 정밀한 조사가 불가능한 경우 
79 4.1.4 경험적 지지력  (3) 경험적인 지지력 공식은 신중하게 적용하여야 하며, 불가피하게 외국의 경험적 지지력 공식을 적용할 때에는 적용성을 확인한 후 사용한다. 
80 4.1.4 경험적 지지력  (4) 경험적 지지력 산정방법에 의해 도출된 지지력은 기초의 크기, 근입깊이, 지하수위 등에 따라 수정하여 적용한다. 
81 4.1.5 현장시험에 의한 지지력 산정  4.1.5 현장시험에 의한 지지력 산정 
82 4.1.5 현장시험에 의한 지지력 산정  (1) 현장시험으로 부터 다음과 같이 지반의 지지력을 산정할 수 있으며, 허용지지력은 지반상태, 경계조건, 시험특성 등을 고려하여 결정한다. 
83 4.1.5 현장시험에 의한 지지력 산정  ① 기초지반에 대한 평판재하시험에서 얻은 하중-침하량 곡선으로부터 허용지지력을 구하고, 기초의 크기효과를 고려하여 설계지지력을 산정한다. 
84 4.1.5 현장시험에 의한 지지력 산정  ② 표준관입시험의 결과를 이용하여 기초의 허용지지력을 산정할 수 있는데, 이때 시추기 해머의 에너지 효율에 대하여 보정한 N값을 사용해야 하며, 필요에 따라 롯드 길이, 시추공 크기, 유효상재하중 등에 대하여 N값을 보정하여 적용한다. 
85 4.1.5 현장시험에 의한 지지력 산정  ③ 콘관입시험 결과로부터 기초의 허용지지력을 추정할 수 있으며, 조밀한 지반이나 자갈이 섞여있는 지반에서는 주의하여 적용한다. 
86 4.1.5 현장시험에 의한 지지력 산정  ④ 점토지반에서는 현장베인시험 결과로부터 지반의 비배수전단강도를 구하고, 이를 보정하여 기초의 지지력을 추정할 수 있다. 
87 4.1.5 현장시험에 의한 지지력 산정  ⑤ 공내재하시험(프레셔미터시험) 결과로부터 기초의 허용지지력을 추정할 수 있으며, 다른 종류의 현장시험이 어려운 모래, 자갈, 풍화토, 풍화암, 기반암 등에 적용할 수 있다. 
88 4.1.6 암반에서의 지지력 산정  4.1.6 암반에서의 지지력 산정 
89 4.1.6 암반에서의 지지력 산정  (1) 암반에서 기초를 설계할 때에는 암석의 강도, 불연속면의 간격 및 방향, 불연속면의 틈새, RQD, 풍화정도, 충전물질, 지하수 등을 고려하여 암반의 지지력을 산정한다. 
90 4.1.6 암반에서의 지지력 산정  (2) 강도가 크고 불연속면의 간격이 넓으며 틈새가 작은 암반일 경우에는 양호한 암반으로 판정하고 기초의 지지력을 산정한다. 
91 4.1.6 암반에서의 지지력 산정  (3) 강도가 작고 불연속면의 간격이 매우 좁으며 풍화상태가 심하거나 세편상태인 암반은 불량한 암반으로 판정하고 기초의 지지력을 산정한다. 
92 4.1.6 암반에서의 지지력 산정  (4) 암반의 상태를 정량적으로 등급화하고, 그에 따라 등급별로 암반의 극한지지력을 정하여 기초를 설계할 수 있다. 
93 4.1.6 암반에서의 지지력 산정  (5) 암반 판정이 모호한 경우, 지질학적으로 해명이 안 되는 경우, 암석이 심하게 교란된 경우, 절리나 층리가 지표의 경사와 유사한 경우, 암의 표면이 30° 이상 경사진 경우에는 암반의 지지력 결정에 유의하여야 한다. 
94 4.1.7 수평지지력  4.1.7 수평지지력 
95 4.1.7 수평지지력  (1) 얕은기초의 허용수평지지력은 기초의 저면과 지반 사이의 전단저항력을 적정 안전율로 나눈 값으로 하나, 지표면 근처에서 안정된 지지층을 확보할 수 있는 경우에는 기초전면에 작용하는 수동토압을 안전율로 나눈 값을 적용하여 허용수평지지력으로 고려할 수 있다. 다만, 수동토압이 발휘되기 위해서는 주동변위의 2배 ~ 20배 만큼 변위가 발생하여야 하므로 수동토압이 전부 발현된다고 가정하는 것은 주의가 필요하다. 
96 4.1.7 수평지지력  (2) 기초의 저면과 지반 사이에 전단저항력이 부족할 경우에는 활동방지벽을 설치하여 전단저항력을 증가시킬 수 있다. 활동방지벽을 설치한 경우의 전단저항력은 기초의 저면이 아니라 활동방지벽의 선단을 통하는 기초지반과 평행한 면을 따라 전단저항력을 산출하며, 이 전단면을 가상의 기초 저면으로 한다. 
97 4.2 침하량 산정  4.2 침하량 산정 
98 4.2.1 얕은기초의 침하량  4.2.1 얕은기초의 침하량 
99 4.2.1 얕은기초의 침하량  (1) 얕은기초의 침하량은 즉시침하량, 일차압밀침하량, 이차압축침하량을 합하여 산정하여야 한다. 
100 4.2.1 얕은기초의 침하량  (2) 침하량 산정 시 기초하중에 의해 발생된 영향깊이 내 지중응력의 증가량을 고려하여야 한다. 
101 4.2.1 얕은기초의 침하량  (3) 쌓기층에 놓이는 구조물의 침하량을 산정할 경우에는 쌓기층 자체의 장기침하량(creep 침하)을 고려하여야 한다. 
102 4.2.1 얕은기초의 침하량  (4) 기초 설치로 인한 인접 구조물 하부 지중응력 증가와 시공 중 지하수위 변화 등에 따른 인접 구조물의 침하에 대한 영향을 설계 시 고려하여야 한다. 
103 4.2.2 지중응력 증가량  4.2.2 지중응력 증가량 
104 4.2.2 지중응력 증가량  (1) 기초에 작용하는 하중에 의해 지반 내에 발생되는 지중응력의 증가량은 지반이 균질하고 등방성인 탄성체라고 가정하고, 기초형상과 하중의 분포형태에 따라 제시된 계산식(Boussinesq 식 등)을 적용하여 구한다. 그러나 이 경우 다음과 같은 사항에 주의하여야 한다. 
105 4.2.2 지중응력 증가량  ① 지반이 선형 탄성적으로 변형되는 하중범위 내에서는 비교적 잘 적용될 수 있으나, 파괴직전 하중에서는 계산결과가 실제값과 많은 오차를 보일 수 있다. 
106 4.2.2 지중응력 증가량  ② 층상지반 또는 서로 인접한 지층의 강도가 큰 차이를 나타내는 경우, 계산결과가 실제와 상이할 수 있으므로 지층의 성상을 고려하여 지중응력의 증가량을 구한다. 
107 4.2.3 즉시침하량  4.2.3 즉시침하량 
108 4.2.3 즉시침하량  (1) 기초하중에 의한 지반의 즉시침하량은 기초의 강성과 형상 및 지반의 특성을 고려하여 다음과 같이 산정한다. 
109 4.2.3 즉시침하량  ① 지반을 단위면적의 흙기둥으로 간주하고 탄성이론을 이용하여 기초의 침하량을 계산한다. 
110 4.2.3 즉시침하량  ② 평판재하시험을 실시하여 구한 재하판의 하중-침하량 관계로부터 지층의 구성과 지반의 종류를 고려하여 실제 기초의 침하량을 추정한다. 평판재하시험의 결과값은 크기효과 등의 원인으로 인해 지층전체의 변형특성을 대표할 수 없으므로 유의하여 사용한다. 
111 4.2.3 즉시침하량  ③ 공내재하시험(프레셔미터시험) 결과로부터 기초의 침하량을 검토할 수 있으며, 다른 종류의 현장시험이 어려운 모래, 자갈, 풍화토, 풍화암 등에 적용할 수 있다. 
112 4.2.4 일차압밀침하량  4.2.4 일차압밀침하량 
113 4.2.4 일차압밀침하량  (1) 일차압밀침하량은 지반의 압축특성, 유효응력변화, 지반의 투수성, 경계조건 등을 고려하여 계산하며, 압밀층이 두꺼울 경우에는 지반을 여러 개의 수평지층으로 나누고, 각 층에 대하여 기초하중에 의한 응력증가량을 적용하여 다음과 같이 침하량을 산정한다. 
114 4.2.4 일차압밀침하량  ① 일차압밀에 의한 최종 침하량은 압밀시험을 실시해서 구한 압축지수나 체적변화계수 등을 적용하여 계산하며, 정규압밀 상태와 과압밀 상태로 구분하여 계산한다. 
115 4.2.4 일차압밀침하량  ② 일차압밀이 종료되기 전 압밀진행정도(압밀도)에 따른 압밀침하속도는 시간-침하량 관계로부터 구한다. 
116 4.2.5 이차압축침하량  4.2.5 이차압축침하량 
117 4.2.5 이차압축침하량  (1) 이차압축침하량은 일차압밀침하 완료 후의 시간-침하량 관계 곡선의 기울기를 적용하여 계산한다. 
118 4.2.6 허용침하량  4.2.6 허용침하량 
119 4.2.6 허용침하량  (1) 허용침하량은 균등침하, 부등침하, 각 변위(경사도) 등으로 규정할 수 있으며, 구조물의 종류, 형태, 기능에 따라 별도로 정한다. 별도의 기준이 없는 경우에는 국제적으로 통용되는 기준을 준용할 수 있다. 
120 4.2.7 침하량 검토  4.2.7 침하량 검토 
121 4.2.7 침하량 검토  (1) 사용하중상태에서 침하속도 및 침하량이 예측값과 부합되는지를 판단하고 대책이 요구되는 경우, 구조물 준공 후 일정기간동안 침하를 관측한다. 
122 5. 전면기초  5. 전면기초 
123 5.1 일반사항  5.1 일반사항 
124 5.1 일반사항  (1) 전면기초는 여러 개의 기둥들을 지지하는 커다란 콘크리트 슬래브이며, 근입깊이는 구조물 외측을 기준으로 하고 합력의 작용위치는 각각 기둥들의 위치와 작용 하중의 크기에 따라 결정한다. 
125 5.2 전면기초의 허용지지력  5.2 전면기초의 허용지지력 
126 5.2 전면기초의 허용지지력  (1) 전면기초의 허용지지력은 상부구조-기초판-지반의 상대적 거동을 고려하여 강성법, 연성법, 혼합법, 수치해석법 등으로 구할 수 있으며, 계산방법의 선택과 그 결과의 활용은 설계자의 판단에 따른다. 
127 5.3 전면기초의 침하  5.3 전면기초의 침하 
128 5.3 전면기초의 침하  (1) 전면기초의 침하는 지반과 상부구조물의 강성에 따라서 기둥의 위치별로 다르게 발생할 수 있으며, 이로 인해 상부구조물 및 기초판에 손상이 발생하는지 여부를 검토한다. 
129 5.3 전면기초의 침하  (2) 전면기초는 하부지반에 국부적으로 존재하는 연약지층의 특성보다는 지반의 전체적인 특성을 적용하여 침하를 계산하여야 하며, 전체침하량, 부등침하량 및 각변위를 검토하여야 한다. 
130 5.4 말뚝지지 전면기초  5.4 말뚝지지 전면기초 
131 5.4 말뚝지지 전면기초  (1) 말뚝지지 전면기초(piled raft foundation)는 전면기초와 말뚝기초가 복합적으로 상부구조물을 지지하는 기초형식으로서 전면기초-지반-말뚝의 상호작용을 고려하여 설계하여야 하고, 말뚝체 및 말뚝머리 접합부 등의 관련 부분에 대한 설계요구조건을 동시에 만족하여야 한다. 
